Date,Open,High,Low,Close,Adj Close,Volume
2024-02-06,1.074183,1.076310,1.072455,1.074183,1.074183,0
2024-02-07,1.075720,1.078435,1.075639,1.075720,1.075720,0
2024-02-08,1.077575,1.078981,1.074310,1.077575,1.077575,0
2024-02-09,1.077726,1.079447,1.076391,1.077726,1.077726,0
2024-02-12,1.079820,1.080544,1.075766,1.079820,1.079820,0
2024-02-13,1.077226,1.079564,1.070205,1.077226,1.077226,0
2024-02-14,1.070893,1.073445,1.069553,1.070893,1.070893,0
2024-02-15,1.073215,1.078632,1.072524,1.073215,1.073215,0
2024-02-16,1.077389,1.078051,1.073445,1.077389,1.077389,0
2024-02-19,1.078446,1.078981,1.076299,1.078493,1.078493,0
2024-02-20,1.077540,1.083858,1.076252,1.077540,1.077540,0
2024-02-21,1.081315,1.082251,1.079191,1.081315,1.081315,0
2024-02-22,1.082040,1.088625,1.080509,1.082040,1.082040,0
2024-02-23,1.082567,1.083940,1.081373,1.082567,1.082567,0
2024-02-26,1.081958,1.085906,1.081338,1.082005,1.082005,0
2024-02-27,1.085093,1.086614,1.083365,1.085093,1.085093,0
2024-02-28,1.084481,1.084716,1.079867,1.084481,1.084481,0
2024-02-29,1.083882,1.085588,1.080567,1.083882,1.083882,0
2024-03-01,1.080497,1.084152,1.079925,1.080497,1.080497,0
2024-03-04,1.084269,1.086649,1.083858,1.084269,1.084269,0
2024-03-05,1.085517,1.087536,1.084269,1.085517,1.085517,0
2024-03-06,1.085600,1.091405,1.084293,1.085600,1.085600,0
2024-03-07,1.089954,1.094092,1.086933,1.089954,1.089954,0
2024-03-08,1.095014,1.097803,1.092705,1.095014,1.095014,0
2024-03-11,1.094296,1.095050,1.091465,1.094296,1.094296,0
2024-03-12,1.093135,1.094212,1.090322,1.093135,1.093135,0
2024-03-13,1.092777,1.094931,1.092049,1.092777,1.092777,0
2024-03-14,1.095530,1.095470,1.088412,1.095530,1.095530,0
2024-03-15,1.088341,1.090156,1.087382,1.088341,1.088341,0
2024-03-18,1.088258,1.090750,1.088080,1.088258,1.088258,0
