Datetime,Open,High,Low,Close,Volume
2024-02-13 12:40:00,185.67,185.6992,185.64,185.674,31410
2024-02-13 12:41:00,185.677,185.7097,185.645,185.675,28300
2024-02-13 12:42:00,185.6744,185.77,185.6744,185.745,40883
2024-02-13 12:43:00,185.745,185.77,185.731,185.77,43413
2024-02-13 12:44:00,185.77,185.77,185.691,185.71,34995
2024-02-13 12:45:00,185.72,185.73,185.67,185.68,29318
2024-02-13 12:46:00,185.69,185.7,185.625,185.64,31308
2024-02-13 12:47:00,185.63,185.7,185.6201,185.67,40460
2024-02-13 12:48:00,185.665,185.67,185.515,185.5417,48199
2024-02-13 12:49:00,185.54,185.57,185.4523,185.4523,35645
2024-02-13 12:50:00,185.45,185.49,185.425,185.455,34950
2024-02-13 12:51:00,185.451,185.55,185.451,185.55,28306
2024-02-13 12:52:00,185.55,185.56,185.41,185.41,36713
2024-02-13 12:53:00,185.4098,185.415,185.34,185.35,50992
2024-02-13 12:54:00,185.352,185.352,185.22,185.235,41118
2024-02-13 12:55:00,185.23,185.28,185.14,185.27,79158
2024-02-13 12:56:00,185.27,185.285,185.12,185.15,54142
2024-02-13 12:57:00,185.14,185.17,185.11,185.14,34000
2024-02-13 12:58:00,185.13,185.1989,185.13,185.185,61263
2024-02-13 12:59:00,185.18,185.22,185.13,185.16,46418
2024-02-13 13:00:00,185.15,185.2299,185.132,185.222,49454
2024-02-13 13:01:00,185.2299,185.265,185.195,185.26,39093
2024-02-13 13:02:00,185.25,185.3,185.185,185.195,40620
2024-02-13 13:03:00,185.19,185.27,185.18,185.24,32740
2024-02-13 13:04:00,185.2446,185.265,185.2099,185.224,42224
2024-02-13 13:05:00,185.23,185.2476,185.18,185.2476,42845
2024-02-13 13:06:00,185.245,185.31,185.214,185.27,30667
2024-02-13 13:07:00,185.27,185.3199,185.2601,185.315,22651
2024-02-13 13:08:00,185.315,185.325,185.2501,185.295,40156
2024-02-13 13:09:00,185.3,185.35,185.291,185.349,39212
2024-02-13 13:10:00,185.3456,185.369,185.25,185.27,44818
2024-02-13 13:11:00,185.26,185.285,185.225,185.285,39460
2024-02-13 13:12:00,185.2921,185.295,185.23,185.275,22507
2024-02-13 13:13:00,185.2773,185.28,185.22,185.222,33353
2024-02-13 13:14:00,185.23,185.38,185.225,185.37,48646
2024-02-13 13:15:00,185.365,185.415,185.33,185.385,46144
2024-02-13 13:16:00,185.38,185.38,185.3221,185.34,30756
2024-02-13 13:17:00,185.32,185.3267,185.24,185.295,41969
2024-02-13 13:18:00,185.29,185.405,185.29,185.395,40786
2024-02-13 13:19:00,185.39,185.395,185.315,185.375,50075
2024-02-13 13:20:00,185.37,185.375,185.29,185.32,77698
